GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-security-jwt,com.mdq.springjwt,SpringBootSecurityJwtApplication,5,3,0,0,2,1,1,1,1,1
spring-boot-security-jwt,com.mdq.springjwt.services,PhotoService,26,6,0,0,7,3,5,1,5,1
spring-boot-security-jwt,com.mdq.springjwt.services,BlogService,26,3,0,0,7,1,5,1,5,1
spring-boot-security-jwt,com.mdq.springjwt.services,UserService,11,21,0,0,4,6,2,4,2,4
spring-boot-security-jwt,com.mdq.springjwt.services,StoryService,16,38,0,2,5,10,3,6,3,5
spring-boot-security-jwt,com.mdq.springjwt.services,CommentService,28,40,0,2,10,12,4,5,4,4
spring-boot-security-jwt,com.mdq.springjwt.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
spring-boot-security-jwt,com.mdq.springjwt.payload.response,JwtResponse,59,0,0,0,24,0,12,0,12,0
spring-boot-security-jwt,com.mdq.springjwt.security.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
spring-boot-security-jwt,com.mdq.springjwt.security.jwt,JwtUtils,87,7,0,0,21,2,4,2,4,2
spring-boot-security-jwt,com.mdq.springjwt.security.jwt,AuthTokenFilter,67,13,8,0,19,5,6,2,2,2
spring-boot-security-jwt,com.mdq.springjwt.payload.request,LoginRequest,17,0,0,0,7,0,5,0,5,0
spring-boot-security-jwt,com.mdq.springjwt.payload.request,SignupRequest,31,0,0,0,13,0,9,0,9,0
spring-boot-security-jwt,com.mdq.springjwt.security,WebSecurityConfig,0,210,0,0,0,34,0,10,0,10
spring-boot-security-jwt,com.mdq.springjwt.controllers,PhotoController,24,6,0,0,7,3,5,1,5,1
spring-boot-security-jwt,com.mdq.springjwt.controllers,AuthController,179,18,11,0,42,7,13,1,7,1
spring-boot-security-jwt,com.mdq.springjwt.controllers,CommentController,29,6,0,0,8,3,6,1,6,1
spring-boot-security-jwt,com.mdq.springjwt.controllers,UserController,24,6,0,0,7,3,5,1,5,1
spring-boot-security-jwt,com.mdq.springjwt.controllers,BlogController,24,6,0,0,7,3,5,1,5,1
spring-boot-security-jwt,com.mdq.springjwt.controllers,StoryController,104,6,2,0,26,3,9,1,8,1
spring-boot-security-jwt,com.mdq.springjwt.controllers,TestController,8,3,0,0,4,1,4,1,4,1
spring-boot-security-jwt,com.mdq.springjwt.security.services,UserDetailsImpl,102,0,6,0,32,0,17,0,14,0
spring-boot-security-jwt,com.mdq.springjwt.security.services,UserDetailsServiceImpl,23,3,0,0,3,1,2,1,2,1
spring-boot-security-jwt,com.mdq.springjwt.models,Story,131,30,0,0,54,12,21,2,21,2
spring-boot-security-jwt,com.mdq.springjwt.models,Role,20,3,0,0,9,2,5,1,5,1
spring-boot-security-jwt,com.mdq.springjwt.models,User,105,34,0,0,39,11,18,2,18,2
spring-boot-security-jwt,com.mdq.springjwt.models,Photo,55,3,0,0,23,2,10,1,10,1
spring-boot-security-jwt,com.mdq.springjwt.models,Comment,58,18,0,0,25,8,11,2,11,2
spring-boot-security-jwt,com.mdq.springjwt.models,Blog,33,3,0,0,14,2,7,1,7,1
spring-boot-security-jwt,com.mdq.springjwt.models,ERole,0,34,0,0,0,4,0,1,0,1
